name,regkey_opened,regkey_read,regkey_written,regkey_deleted
8bdfb031f9c69c3a62253fc296a36cf4be242999.exe,95,246,23,1
9f84351bde375f5887df9860d79691026a0eeacc.exe,116,60,1,0
8f530319bb458c833fde54a8350bde377baa50d2.exe,115,58,1,0
9dbc7f99fd8ca2dbe9a8bfe4db9ac7a30e2f42fd.exe,0,0,0,0
9ade30edabf8c2ad21c433f99ae7646c8f8a8ca5.exe,117,66,1,0
0e9b7236c5686e9e130e528dbdd3244a133e80e8.exe,78,179,16,1
5c0c59e35e7094fc50bd771807ddd993c58604cd.exe,115,58,1,0
6b2a26456bcaa40a6c8931abba6b0574c1b7767e.exe,114,58,1,0
06f88502e0e498c75d3f03e5931e9d5aab9d7d5f.exe,115,58,1,0
3d7ddd0abd8b6ee17f4fe450cee05b275a593f8c.exe,115,58,1,0
23bc832e452cbe1ab72f0f067be5517b82cec116.exe,1,0,0,0
3ed417b43ccf3a6be330bd2618774d8e22c73f4a.exe,140,58,1,0
3f8564b692029057503e1d5292df2a221d69be5a.exe,116,60,1,0
0d766eb9c937abe8a0785fcacb0dbf64159a85d0.exe,118,66,1,0
9d1b94d80faa4726043afcbac04f7f914a2ee638.exe,9,5,0,0
5d9ad5a293f4c11dc3796f04e7d9006c5661218f.exe,217,474,27,6
003c10125d80ba6cdbb05bc9aa047c7dbaa6b7ff.exe,114,58,1,0
8b8f4bbf655aba6af98bd74b8a116b0899b796c4.exe,146,62,1,0
2b84fe732284dfdccefdfbe59a643e5a6b231158.exe,92,237,15,2
9af03a46ab15a6acd606e174b26b4dea5b8e57ce.exe,93,251,18,2
019de498b51002ad41fb948e998fb3cfcdb925c0.exe,116,60,1,0
9c8a1391f27c66c7cdf5b780aff1898dde906ff2.exe,81,193,18,2
8ecb96b7aa081cee9c6e94954261a1c8274f371d.exe,116,60,1,0
2f0f0ebe0fafc37f14e6707ec5de76183486defb.exe,146,62,1,0
0cf024bd2e9f5ac3a73ef9511042f8c1d16e743a.exe,146,62,1,0
23dea8fbd7bceafebc3be1eb6346ef4e7eaf5a18.exe,115,58,1,0
11b1dd8a414487bae7d7c66a3acc134f1c87ebe1.exe,82,187,17,1
9c139a17355443940014443e4df5c66fc6bb346e.exe,93,251,18,2
0aad95485aae806bbebbad6d6fc8a57530e84be2.exe,146,62,1,0
6f78650b474495a779ab07ae5823d7bc15a9ee9e.exe,115,58,1,0
5ec731eb9f5dd23c78da2d32b58ccc4c60d4a727.exe,112,58,1,0
28adcda399ce6acba1c00d9ad5950c5e168edbf3.exe,114,58,1,0
13e336cab203819a7c76ab3ca08112a99b1b9cbc.exe,93,238,17,1
04fdd3edd1b58008eefe77753f22d501254c1565.exe,115,58,1,0
0cc86c8e870e647e33046ade1060d4c495257b34.exe,115,58,1,0
8b2d1780df9306c7bd8d734de86a5d91d853e674.exe,114,58,1,0
2a4449aba56579bc4bf061f9c9876d1ab190ea37.exe,82,188,23,1
024e3a15a27c5303c900850108599be501aa21da.exe,117,66,1,0
6f25212cc603231f5089e4dc51fc24e5f37799da.exe,93,239,25,1
8c213c85311f961294d684c7bba175d9304ba8fc.exe,115,58,1,0
30d6c2a2ef26e4852de50dfe9357eee86ba2ed8a.exe,98,238,17,1
